电视直播源群：189203334Vip直播源群：1149691044
﻿电影,#genre#
周星驰[1280*720],http://kuqq.tk/00/huya.php?id=11342412
林正英[1280*720],http://kuqq.tk/00/huya.php?id=11342421
成龙[1280*720],http://kuqq.tk/00/huya.php?id=11342386
李连杰[1280*720],http://kuqq.tk/00/huya.php?id=11342390
吴京[1024*576],http://kuqq.tk/00/huya.php?id=11602045
科幻动作[1280*720],http://kuqq.tk/00/huya.php?id=11352964
国产喜剧[1280*720],http://kuqq.tk/00/huya.php?id=11602044
丧尸[1280*720],http://kuqq.tk/00/huya.php?id=11352962
五福星[1024*512],http://kuqq.tk/00/huya.php?id=11282233
甄子丹[1280*544],http://kuqq.tk/00/huya.php?id=11352935
卧底警匪[1920*800],http://kuqq.tk/00/huya.php?id=11352886
周润发[1920*1070],http://kuqq.tk/00/huya.php?id=11342387
变形金刚[448*336],http://kuqq.tk/00/huya.php?id=11342433
沈腾[1280*720],http://kuqq.tk/00/huya.php?id=11601968
盗墓系列[1024*576],http://kuqq.tk/00/huya.php?id=11352913
洪金宝[1280*720],http://kuqq.tk/00/huya.php?id=11342427
灾难电影[848*480],http://kuqq.tk/00/huya.php?id=11352871
终结者电影[896*504],http://kuqq.tk/00/huya.php?id=11352979
徐峥[1280*720],http://kuqq.tk/00/huya.php?id=11602043
漫威[1024*576],http://kuqq.tk/00/huya.php?id=11602075
刘德华[1280*720],http://kuqq.tk/00/huya.php?id=11342424
速度与激情[640*352],http://kuqq.tk/00/huya.php?id=11352949
香港恐怖[512*286],http://kuqq.tk/00/huya.php?id=11601960
异性怪物[1920*1080],http://kuqq.tk/00/huya.php?id=11352938
历年贺岁档[1280*720],http://kuqq.tk/00/huya.php?id=11601986
杰森斯坦森[720*576],http://kuqq.tk/00/huya.php?id=11336572
港产搞笑[1280*720],http://kuqq.tk/00/huya.php?id=11342423
复仇者联盟[1920*1080],http://kuqq.tk/00/huya.php?id=11602041
惊悚[1280*720],http://kuqq.tk/00/huya.php?id=11342432
黑帮电影[1280*720],http://kuqq.tk/00/huya.php?id=11342419
史诗战争[1280*720],http://kuqq.tk/00/huya.php?id=11342435
丧尸2[1920*1072],http://kuqq.tk/00/huya.php?id=11342422
粤语港片[1280*720],http://kuqq.tk/00/huya.php?id=11352894
钢铁侠[1280*720],http://kuqq.tk/00/huya.php?id=11602034
机甲电影[1024*432],http://kuqq.tk/00/huya.php?id=11352876
猎奇电影[1280*720],http://kuqq.tk/00/huya.php?id=11601970
韩国电影[1920*1080],http://kuqq.tk/00/huya.php?id=11352880
欧美特工[1280*720],http://kuqq.tk/00/huya.php?id=11602069
加勒比海盗[704*518],http://kuqq.tk/00/huya.php?id=11602046
指环王[1920*1080],http://kuqq.tk/00/huya.php?id=11352916
哈利波特[1280*720],http://kuqq.tk/00/huya.php?id=11352906
电锯惊魂[576*432],http://kuqq.tk/00/huya.php?id=11342437
最佳拍档[640*480],http://kuqq.tk/00/huya.php?id=11342397
金庸电影[1920*1080],http://kuqq.tk/00/huya.php?id=11352897
热血高校[480*384],http://kuqq.tk/00/huya.php?id=11342402
许氏电影[1280*720],http://kuqq.tk/00/huya.php?id=11602033
第一滴血[1024*576],http://kuqq.tk/00/huya.php?id=11352934
小丑电影[1280*720],http://kuqq.tk/00/huya.php?id=11352941
外国电影[1280*720],http://kuqq.tk/00/huya.php?id=11342428
游戏改编电影[720*440],http://kuqq.tk/00/huya.php?id=10871113
奥斯卡提名[1280*720],http://kuqq.tk/00/huya.php?id=11352969
黑夜传说[1080*606],http://kuqq.tk/00/huya.php?id=11352881
开心鬼[544*400],http://kuqq.tk/00/huya.php?id=11342388
香港霸王花[1024*560],http://kuqq.tk/00/huya.php?id=11352909
爱情公寓[1104*622],http://kuqq.tk/00/huya.php?id=11336726
武林外传[720*436],http://kuqq.tk/00/huya.php?id=11352915
插翅难逃[720*528],http://kuqq.tk/00/huya.php?id=11352940
神探狄仁杰[1280*720],http://kuqq.tk/00/huya.php?id=11352958
家有儿女[480*360],http://kuqq.tk/00/huya.php?id=11352872
少年包青天[720*432],http://kuqq.tk/00/huya.php?id=11342393
好先生[1280*720],http://kuqq.tk/00/huya.php?id=11352973
火蓝刀锋[1280*720],http://kuqq.tk/00/huya.php?id=11336592
知否知否[1024*576],http://kuqq.tk/00/huya.php?id=11602068
士兵突击[624*336],http://kuqq.tk/00/huya.php?id=11342430
搞笑一家人[1104*622],http://kuqq.tk/00/huya.php?id=11601978
少帅[1024*576],http://kuqq.tk/00/huya.php?id=11342414
生活大爆炸[1084*576],http://kuqq.tk/00/huya.php?id=11352959
卫国无敌[380*288],http://kuqq.tk/00/huya.php?id=11336578
大宅门[640*480],http://kuqq.tk/00/huya.php?id=11601982
鹿鼎记陈小春[1920*1083],http://kuqq.tk/00/huya.php?id=11352910
炊事班的故事[1280*720],http://kuqq.tk/00/huya.php?id=11352895
齐天大圣孙悟空[1280*720],http://kuqq.tk/00/huya.php?id=11342395
正阳门下[800*432],http://kuqq.tk/00/huya.php?id=11352965
命案十三宗[1280*528],http://kuqq.tk/00/huya.php?id=11601981
永不磨灭的番号[960*540],http://kuqq.tk/00/huya.php?id=11352875
倚天屠龙记[704*576],http://kuqq.tk/00/huya.php?id=11342403
我和僵尸有个约会[852*480],http://kuqq.tk/00/huya.php?id=11352948
三生三世[832*624],http://kuqq.tk/00/huya.php?id=11602085
龙门镖局[960*540],http://kuqq.tk/00/huya.php?id=11352874
老九门[1280*720],http://kuqq.tk/00/huya.php?id=11352887
潜伏[704*524],http://kuqq.tk/00/huya.php?id=11601958
屌丝男士[1280*816],http://kuqq.tk/00/huya.php?id=11342420
西游记[640*396],http://kuqq.tk/00/huya.php?id=11602031
民兵葛二蛋[852*480],http://kuqq.tk/00/huya.php?id=11602072
大染坊[1280*536],http://kuqq.tk/00/huya.php?id=11352905
芈月传[720*576],http://kuqq.tk/00/huya.php?id=11352918
伪装者[720*400],http://kuqq.tk/00/huya.php?id=11602086
我的兄弟叫顺溜[640*480],http://kuqq.tk/00/huya.php?id=11601957
还珠格格[1080*606],http://kuqq.tk/00/huya.php?id=11342415
天龙八部胡军[1280*720],http://kuqq.tk/00/huya.php?id=11602036
新倚天屠龙记[1280*720],http://kuqq.tk/00/huya.php?id=11602067
法证先锋[1280*720],http://kuqq.tk/00/huya.php?id=11342398
神话[1024*576],http://kuqq.tk/00/huya.php?id=11602074
医馆笑传[960*540],http://kuqq.tk/00/huya.php?id=11352891
情满四合院[1920*1080],http://kuqq.tk/00/huya.php?id=11342426
毛骗[723*492],http://kuqq.tk/00/huya.php?id=11352912
都挺好[1280*688],http://kuqq.tk/00/huya.php?id=11602084
老友记[1076*508],http://kuqq.tk/00/huya.php?id=11352945
香蜜沉沉[582*432],http://kuqq.tk/00/huya.php?id=11352892
我的团长我的团[640*400],http://kuqq.tk/00/huya.php?id=11342416
大宋提刑官[1280*720],http://kuqq.tk/00/huya.php?id=11279251
爱死亡机器人[1280*720],http://kuqq.tk/00/huya.php?id=11601964
魔幻手机[352*288],http://kuqq.tk/00/huya.php?id=11602065
行尸走肉[1280*696],http://kuqq.tk/00/huya.php?id=11352963
旋风十一人[1280*720],http://kuqq.tk/00/huya.php?id=11342400
猪八戒系列[1280*720],http://kuqq.tk/00/huya.php?id=11352877
王子变青蛙[1920*1080],http://kuqq.tk/00/huya.php?id=11352960
我的前半生[1280*720],http://kuqq.tk/00/huya.php?id=11601971
新神雕侠侣古天乐[1280*720],http://kuqq.tk/00/huya.php?id=11352878
我们结婚吧[1280*720],http://kuqq.tk/00/huya.php?id=11342394
极品家丁[1280*720],http://kuqq.tk/00/huya.php?id=11352884
血色浪漫[480*852],http://kuqq.tk/00/huya.php?id=11602055
聊斋志异[1920*1080],http://kuqq.tk/00/huya.php?id=11602054
高分韩剧[1024*576],http://kuqq.tk/00/huya.php?id=11352903
射雕英雄传朱茵[1920*1080],http://kuqq.tk/00/huya.php?id=11342438
欢喜密探[1280*720],http://kuqq.tk/00/huya.php?id=11336590
黑洞[1920*1080],http://kuqq.tk/00/huya.php?id=11602088
韩剧探案[1280*720],http://kuqq.tk/00/huya.php?id=11336725
勇敢的心[1280*720],http://kuqq.tk/00/huya.php?id=11602037
极限男人帮[1920*1080],http://kuqq.tk/00/huya.php?id=11352914
奔跑吧兄弟[1024*440],http://kuqq.tk/00/huya.php?id=11601972
向往的生活[720*404],http://kuqq.tk/00/huya.php?id=11342436
明星大侦探[1280*720],http://kuqq.tk/00/huya.php?id=11336579
王牌对王牌[1080*606],http://kuqq.tk/00/huya.php?id=11601961
笑傲江湖[1920*1080],http://kuqq.tk/00/huya.php?id=11352937
中国达人秀[1920*1080],http://kuqq.tk/00/huya.php?id=11602047
恐怖短片[1280*720],http://kuqq.tk/00/huya.php?id=17098448
小虎牙[1920*1080],http://kuqq.tk/00/huya.php?id=17904870
阿斗归来了[1920*1080],http://kuqq.tk/00/huya.php?id=adgll
陈翔六点半[1920*1080],http://kuqq.tk/00/huya.php?id=cxldb
扁豆看电影[1920*1080],http://kuqq.tk/00/huya.php?id=bdcmovie
科幻五分钟[1920*1080],http://kuqq.tk/00/huya.php?id=kh1905
恐怖地带[1280*720],http://kuqq.tk/00/huya.php?id=16741179
吾聊电影[1920*1080],http://kuqq.tk/00/huya.php?id=16424416
Big笑工坊[406*725],http://kuqq.tk/00/huya.php?id=14776702
斌哥搬砖[1280*720],http://kuqq.tk/00/huya.php?id=18632116
电影最TOP[1280*720],http://kuqq.tk/00/huya.php?id=topfilm
亮哥讲电影[1920*1080],http://kuqq.tk/00/huya.php?id=16144175
李小哇僵尸[1920*1080],http://kuqq.tk/00/huya.php?id=18441722
小丑讲电影[1920*1080],http://kuqq.tk/00/huya.php?id=16857432
好尸[1280*720],http://kuqq.tk/00/huya.php?id=15981239
越哥说电影[1920*1080],http://kuqq.tk/00/huya.php?id=yuegemovie
俗哥说电影[1920*1080],http://kuqq.tk/00/huya.php?id=15452736
小川侃电影[1280*720],http://kuqq.tk/00/huya.php?id=15870999
熊妹撩电影[1280*720],http://kuqq.tk/00/huya.php?id=xiongmei666
来呀官人[1920*1080],http://kuqq.tk/00/huya.php?id=15763558
鲁班爱看剧[1920*1080],http://kuqq.tk/00/huya.php?id=17139168
噔噔悬疑社[1920*1080],http://kuqq.tk/00/huya.php?id=17445539
幻海神作[1280*720],http://kuqq.tk/00/huya.php?id=17105786
鱼丸说电影[1920*1080],http://kuqq.tk/00/huya.php?id=16615910
阿良讲电影[1920*1080],http://kuqq.tk/00/huya.php?id=20488841
止戈电影[1920*1080],http://kuqq.tk/00/huya.php?id=19863777
一口毒奶[1920*1080],http://kuqq.tk/00/huya.php?id=16144261
刘老师说电影[1920*1080],http://kuqq.tk/00/huya.php?id=20289754
一朵老香菇[1280*720],http://kuqq.tk/00/huya.php?id=15967689
空空说电影[1920*1080],http://kuqq.tk/00/huya.php?id=kksdy
乌贼君[1920*1080],http://kuqq.tk/00/huya.php?id=16604522
老吴说电影[1920*1080],http://kuqq.tk/00/huya.php?id=16740471
韩三金[1920*1080],http://kuqq.tk/00/huya.php?id=15494057
赵非同[720*404],http://kuqq.tk/00/huya.php?id=19445837
低调新说[1920*1080],http://kuqq.tk/00/huya.php?id=20578977
涵哥评电影[1920*1080],http://kuqq.tk/00/huya.php?id=neihan
